,ds,y
0,1993-06-14,25.869335174560547
1,1993-06-15,25.81548309326172
2,1993-06-16,25.869335174560547
3,1993-06-17,25.959087371826172
4,1993-06-18,25.745311737060547
5,1993-06-21,25.799556732177734
6,1993-06-22,25.817644119262695
7,1993-06-23,25.582578659057617
8,1993-06-24,25.926116943359375
9,1993-06-25,25.90802574157715
10,1993-06-28,26.19730567932129
11,1993-06-29,26.07075309753418
12,1993-06-30,26.07075309753418
13,1993-07-01,25.998428344726562
14,1993-07-02,25.85378074645996
15,1993-07-06,25.582578659057617
16,1993-07-07,25.654932022094727
17,1993-07-08,25.94418716430664
18,1993-07-09,26.016517639160156
19,1993-07-12,25.998428344726562
20,1993-07-13,25.980356216430664
21,1993-07-14,26.07075309753418
22,1993-07-15,25.96226692199707
23,1993-07-16,25.88994026184082
24,1993-07-19,25.871875762939453
25,1993-07-20,25.94418716430664
26,1993-07-21,25.926116943359375
27,1993-07-22,25.745311737060547
28,1993-07-23,25.871875762939453
29,1993-07-26,26.016517639160156
30,1993-07-27,25.998428344726562
31,1993-07-28,25.94418716430664
32,1993-07-29,26.08883285522461
33,1993-07-30,25.94418716430664
34,1993-08-02,26.016517639160156
35,1993-08-03,26.034574508666992
36,1993-08-04,26.034574508666992
37,1993-08-05,25.980356216430664
38,1993-08-06,26.016517639160156
39,1993-08-09,26.161142349243164
40,1993-08-10,26.143070220947266
41,1993-08-11,26.143070220947266
42,1993-08-12,26.07075309753418
43,1993-08-13,26.106903076171875
44,1993-08-16,26.251535415649414
45,1993-08-17,26.34193229675293
46,1993-08-18,26.486570358276367
47,1993-08-19,26.486570358276367
48,1993-08-20,26.504663467407227
49,1993-08-23,26.450424194335938
50,1993-08-24,26.739683151245117
51,1993-08-25,26.757766723632812
52,1993-08-26,26.775846481323242
53,1993-08-27,26.757766723632812
54,1993-08-30,26.866262435913086
55,1993-08-31,26.938554763793945
56,1993-09-01,26.90240478515625
57,1993-09-02,26.812015533447266
58,1993-09-03,26.830101013183594
59,1993-09-07,26.6492919921875
60,1993-09-08,26.558889389038086
61,1993-09-09,26.613143920898438
62,1993-09-10,26.848175048828125
63,1993-09-13,26.866262435913086
64,1993-09-14,26.757766723632812
65,1993-09-15,26.830101013183594
66,1993-09-16,26.721620559692383
67,1993-09-17,26.6698055267334
68,1993-09-20,26.451496124267578
69,1993-09-21,26.360530853271484
70,1993-09-22,26.578832626342773
71,1993-09-23,26.72437286376953
72,1993-09-24,26.6516056060791
73,1993-09-27,26.942678451538086
74,1993-09-28,26.88811683654785
75,1993-09-29,26.797149658203125
76,1993-09-30,26.742557525634766
77,1993-10-01,26.869915008544922
78,1993-10-04,26.90629005432129
79,1993-10-05,26.869915008544922
80,1993-10-06,26.851736068725586
81,1993-10-07,26.77896499633789
82,1993-10-08,26.815330505371094
83,1993-10-11,26.869915008544922
84,1993-10-12,26.90629005432129
85,1993-10-13,26.90629005432129
86,1993-10-14,27.251953125
87,1993-10-15,27.397478103637695
88,1993-10-18,27.324722290039062
89,1993-10-19,27.124597549438477
90,1993-10-20,27.1610050201416
91,1993-10-21,27.124597549438477
92,1993-10-22,26.997268676757812
93,1993-10-25,27.070026397705078
94,1993-10-26,27.05183219909668
95,1993-10-27,27.070026397705078
96,1993-10-28,27.2701358795166
97,1993-10-29,27.2701358795166
98,1993-11-01,27.34291648864746
99,1993-11-02,27.324722290039062
100,1993-11-03,26.979076385498047
101,1993-11-04,26.687984466552734
102,1993-11-05,26.815330505371094
103,1993-11-08,26.851736068725586
104,1993-11-09,26.869915008544922
105,1993-11-10,27.070026397705078
106,1993-11-11,26.997268676757812
107,1993-11-12,27.124597549438477
108,1993-11-15,27.106399536132812
109,1993-11-16,27.2337589263916
110,1993-11-17,27.088212966918945
111,1993-11-18,27.015459060668945
112,1993-11-19,26.960893630981445
113,1993-11-22,26.797149658203125
114,1993-11-23,26.942678451538086
115,1993-11-24,27.05183219909668
116,1993-11-26,27.070026397705078
117,1993-11-29,26.960893630981445
118,1993-11-30,26.979076385498047
119,1993-12-01,27.015459060668945
120,1993-12-02,27.088212966918945
121,1993-12-03,27.197378158569336
122,1993-12-06,27.288330078125
123,1993-12-07,27.2701358795166
124,1993-12-08,27.2701358795166
125,1993-12-09,27.179182052612305
126,1993-12-10,27.124597549438477
127,1993-12-13,27.288330078125
128,1993-12-14,27.088212966918945
129,1993-12-15,27.05183219909668
130,1993-12-16,27.142803192138672
131,1993-12-17,27.291973114013672
132,1993-12-20,27.328596115112305
133,1993-12-21,27.23701286315918
134,1993-12-22,27.42017936706543
135,1993-12-23,27.401878356933594
136,1993-12-27,27.548404693603516
137,1993-12-28,27.603357315063477
138,1993-12-29,27.56671142578125
139,1993-12-30,27.456809997558594
140,1993-12-31,27.310283660888672
141,1994-01-03,27.23701286315918
142,1994-01-04,27.346925735473633
143,1994-01-05,27.401878356933594
144,1994-01-06,27.401878356933594
145,1994-01-07,27.56671142578125
146,1994-01-10,27.89642906188965
147,1994-01-11,27.84146499633789
148,1994-01-12,27.749879837036133
149,1994-01-13,27.676620483398438
150,1994-01-14,27.786529541015625
151,1994-01-17,27.786529541015625
152,1994-01-18,27.82315444946289
153,1994-01-19,27.749879837036133
154,1994-01-20,27.82315444946289
155,1994-01-21,27.768207550048828
156,1994-01-24,27.658287048339844
157,1994-01-25,27.658287048339844
158,1994-01-26,27.73158073425293
159,1994-01-27,27.987998962402344
160,1994-01-28,28.061269760131836
161,1994-01-31,28.262765884399414
162,1994-02-01,28.116209030151367
163,1994-02-02,28.299396514892578
