ds,y
1993-06-14,25.869335174560547
1993-06-15,25.81548309326172
1993-06-16,25.869335174560547
1993-06-17,25.959087371826172
1993-06-18,25.745311737060547
1993-06-21,25.799556732177734
1993-06-22,25.817644119262695
1993-06-23,25.582578659057617
1993-06-24,25.926116943359375
1993-06-25,25.90802574157715
1993-06-28,26.19730567932129
1993-06-29,26.07075309753418
1993-06-30,26.07075309753418
1993-07-01,25.998428344726562
1993-07-02,25.85378074645996
1993-07-06,25.582578659057617
1993-07-07,25.654932022094727
1993-07-08,25.94418716430664
1993-07-09,26.016517639160156
1993-07-12,25.998428344726562
1993-07-13,25.980356216430664
1993-07-14,26.07075309753418
1993-07-15,25.96226692199707
1993-07-16,25.88994026184082
1993-07-19,25.871875762939453
1993-07-20,25.94418716430664
1993-07-21,25.926116943359375
1993-07-22,25.745311737060547
1993-07-23,25.871875762939453
1993-07-26,26.016517639160156
1993-07-27,25.998428344726562
1993-07-28,25.94418716430664
1993-07-29,26.08883285522461
1993-07-30,25.94418716430664
1993-08-02,26.016517639160156
1993-08-03,26.034574508666992
1993-08-04,26.034574508666992
1993-08-05,25.980356216430664
1993-08-06,26.016517639160156
1993-08-09,26.161142349243164
1993-08-10,26.143070220947266
1993-08-11,26.143070220947266
1993-08-12,26.07075309753418
1993-08-13,26.106903076171875
1993-08-16,26.251535415649414
1993-08-17,26.34193229675293
1993-08-18,26.486570358276367
1993-08-19,26.486570358276367
1993-08-20,26.504663467407227
1993-08-23,26.450424194335938
1993-08-24,26.739683151245117
1993-08-25,26.757766723632812
1993-08-26,26.775846481323242
1993-08-27,26.757766723632812
1993-08-30,26.866262435913086
1993-08-31,26.938554763793945
1993-09-01,26.90240478515625
1993-09-02,26.812015533447266
1993-09-03,26.830101013183594
1993-09-07,26.6492919921875
1993-09-08,26.558889389038086
1993-09-09,26.613143920898438
1993-09-10,26.848175048828125
1993-09-13,26.866262435913086
1993-09-14,26.757766723632812
1993-09-15,26.830101013183594
1993-09-16,26.721620559692383
1993-09-17,26.6698055267334
